ERMANNO,1999,25,m
GIOVANNI ANTONIO,1999,25,m
ISAIA,1999,25,m
JAKOB,1999,25,m
LEOPOLDO,1999,25,m
NADIR,1999,25,m
OSAMA,1999,25,m
ALEXANDRO,1999,24,m
GILBERTO,1999,24,m
IBRAHIM,1999,24,m
JOSEF,1999,24,m
MARZIO,1999,24,m
MORITZ,1999,24,m
NINO,1999,24,m
PIERLUCA,1999,24,m
ROBIN,1999,24,m
RUDY,1999,24,m
AIMAN,1999,23,m
CARLO MARIA,1999,23,m
DAVIDE MARIA,1999,23,m
GIACINTO,1999,23,m
GIOVANNI FRANCESCO,1999,23,m
ISMAIL,1999,23,m
JAN,1999,23,m
JOHNNY,1999,23,m
MATTEO MARIA,1999,23,m
NIKOLA,1999,23,m
OLIVER,1999,23,m
PAUL,1999,23,m
RENZO,1999,23,m
SASHA,1999,23,m
ANDREA GIUSEPPE,1999,22,m
AURORA,1999,22,m
DAVIDE FRANCESCO,1999,22,m
EDOARDO MARIA,1999,22,m
FARNCESCO,1999,22,m
FRANCESCOPIO,1999,22,m
GIOVANBATTISTA,1999,22,m
HASSAN,1999,22,m
LEON,1999,22,m
PASQUALINO,1999,22,m
PIER LUIGI,1999,22,m
RENE,1999,22,m
VICTOR,1999,22,m
ALESSANDRO ANTONIO,1999,21,m
ANDREA ANTONIO,1999,21,m
ANGELO PIO,1999,21,m
ARON,1999,21,m
COSIMO DAMIANO,1999,21,m
DINO,1999,21,m
GERLANDO,1999,21,m
GIONATA,1999,21,m
GIONATAN,1999,21,m
LEONE,1999,21,m
PELLEGRINO,1999,21,m
RAPHAEL,1999,21,m
SEAN,1999,21,m
SIMOME,1999,21,m
SIMONA,1999,21,m
TEO,1999,21,m
ADAMO,1999,20,m
ALEKSANDAR,1999,20,m
ALESSANDRO GIUSEPPE,1999,20,m
CRISTINA,1999,20,m
DAMIAN,1999,20,m
EDDY,1999,20,m
ELVIS,1999,20,m
GIOVANNI PAOLO,1999,20,m
GREGORY,1999,20,m
JOELE,1999,20,m
LIBERATO,1999,20,m
LUCA GIUSEPPE,1999,20,m
MAIKOL,1999,20,m
MATTEO FRANCESCO,1999,20,m
MATTIA FRANCESCO,1999,20,m
ORESTE,1999,20,m
